emk_id,original_cost,normalised_cost_2011
12,"$8,000,000","$12,000,000"
14,"$51,000,000","$60,000,000"
17,"$1,480,000,000","$1,742,000,000"
18,"$15,000,000","$18,000,000"
23,"$97,000,000","$109,000,000"
28,"$25,000,000","$160,000,000"
32,"$12,000,000","$39,000,000"
34,"$319,000,000","$1,297,000,000"
41,"$40,000,000","$205,000,000"
48,"$15,000,000","$215,000,000"
50,"$30,000,000","$99,000,000"
58,"$862,000,000","$3,240,000,000"
59,"$12,000,000","$27,000,000"
66,"$20,000,000","$509,000,000"
69,"$20,000,000","$81,000,000"
74,"$31,000,000","$134,000,000"
88,"$12,000,000","$24,000,000"
93,"$40,000,000","$166,000,000"
117,"$10,000,000","$25,000,000"
118,"$10,000,000","$30,000,000"
122,"$32,000,000","$121,000,000"
127,"$5,000,000","$13,000,000"
128,"$25,000,000","$648,000,000"
131,"$176,000,000","$1,796,000,000"
136,"$30,000,000","$57,000,000"
426,"$30,000,000","$57,000,000"
154,"$14,000,000","$610,000,000"
180,"$12,000,000","$282,000,000"
186,"$37,000,000","$99,000,000"
188,"$10,000,000","$50,000,000"
192,"$49,000,000","$149,000,000"
195,"$12,000,000","$54,000,000"
201,"$40,000,000","$97,000,000"
212,"$68,000,000","$2,645,000,000"
213,"$1,700,000,000","$4,296,000,000"
219,"$104,000,000","$638,000,000"
237,"$11,000,000","$48,000,000"
245,"$69,000,000","$131,000,000"
247,"$37,200,000","$115,000,000"
248,"$80,000,000","$578,000,000"
262,"$35,000,000","$215,000,000"
265,"$24,000,000","$90,000,000"
269,"$25,000,000","$45,000,000"
271,"$15,000,000","$202,000,000"
280,"$76,000,000","$254,000,000"
302,"$29,000,000","$100,000,000"
303,"$12,000,000","$1,001,000,000"
304,"$37,000,000","$187,000,000"
307,"$10,000,000","$68,000,000"
309,"$9,000,000","$101,000,000"
313,"$12,000,000","$34,000,000"
319,"$5,000,000","$11,000,000"
328,"$15,000,000","$339,000,000"
337,"$70,000,000","$201,000,000"
340,"$138,400,000","$525,000,000"
345,"$35,000,000","$108,000,000"
354,"$35,000,000","$65,000,000"
355,"$1,500,000","$57,000,000"
361,"$20,000,000","$205,000,000"
374,"$12,000,000","$24,000,000"
376,"$25,000,000","$39,000,000"
377,"$28,500,000","$54,000,000"
378,"$27,700,000","$41,000,000"
379,"$216,700,000","$304,000,000"
384,"$10,000,000","$19,000,000"
386,"$200,000,000","$4,090,000,000"
398,"$53,200,000","$108,000,000"
399,"$17,600,000","$28,000,000"
402,"$61,000,000","$89,000,000"
415,"$15,000,000","$244,000,000"
428,"$10,000,000","$28,000,000"
429,"$12,000,000","$32,000,000"
434,"$33,000,000","$197,000,000"
446,"$23,000,000","$80,000,000"
448,"$540,000,000","$609,000,000"
452,"$118,000,000","$441,000,000"
458,"$13,000,000","$265,000,000"
460,"$10,000,000","$92,000,000"
471,"$15,000,000","$238,000,000"
472,"$104,000,000","$288,000,000"
481,"$19,000,000","$22,000,000"
482,"$1,070,000,000","$1,266,000,000"
484,"$37,000,000","$40,000,000"
491,"$309,000,000","$355,000,000"
493,"$65,000,000","$79,000,000"
494,"$410,000,000","$507,000,000"
496,"$15,000,000","$17,000,000"
497,"$70,000,000","$85,000,000"
500,"$415,000,000","$486,000,000"
501,"$2,387,624,000","$2,387,624,000"
506,"$1,044,000,000","$1,160,000,000"
509,"$1,053,000,000","$1,019,000,000"
510,"$46,700,000","$49,000,000"
511,"$71,000,000","$245,000,000"
516,"$25,000,000","$43,000,000"
519,"$53,900,000","$93,000,000"
520,"$15,000,000","$28,000,000"
522,"$10,000,000","$36,000,000"
544,"$15,000,000","$41,000,000"
547,"$25,000,000","$37,000,000"
548,"$20,000,000","$67,000,000"
549,"$12,000,000","$44,000,000"
552,"$26,000,000","$138,000,000"
592,"$13,000,000","$132,000,000"
608,"$30,000,000","$112,000,000"
616,"$20,000,000","$117,000,000"
627,"$350,000,000","$660,000,000"
4165,"$40,000,000","$650,000,000"
