id,type,sub_type,name,description,year,lat,long,evacuated,homeless,injuries,deaths,insured_cost,homes_damaged,homes_destroyed,regions,url,severity,normalised_cost_2011,cost_2011_text
526,Transport,Air,Winton Aircraft Accident,"On 22 September 1966, an Ansett Vickers Viscount 832 aircraft on a scheduled flight from Mt Isa to Longreach caught on fire and crashed approximately 16 km from Winton, Queensland. The captain attempted to complete an emergency descent due to fire in the no.1 and no. 2 engines; however the port wing failed upwards and the aircraft fell to pieces. It struck the ground at the edge of a clay pan and was immediately engulfed in flames, killing 20 passengers and four crew members. ",1966,-22.33864400,143.07040200,0,0,0,24,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=526,"$72,000,000.00",$0.00,Not known
252,Transport,Air,York Aircraft Crash,"On 27 June 1950 an Australian National Airlines Skymaster DC-4 'Amana' was en route from Perth to Adelaide and Melbourne, its regular public service, when the plane crashed into thick forest country near York 80 miles from Perth. All 29 on board died; the one survivor from the crash died in hospital several days later. ",1950,-31.94662666,116.61334990,0,0,0,29,$0.00,0,0,WA,http://www.emknowledge.gov.au/resource/?id=252,"$87,000,000.00",$0.00,Not known
473,Transport,Air,Port Hedland Aircraft Crash,"On 31 December 1968, a viscount 720C aircraft registered VH-RMQ was undertaking a regular public transport service from Perth to Port Hedland. There 26 on board including flight staff. When nearing Port Hedland, the aircraft struck the ground destroying the aircraft by its impact and subsequent fire. All on board died.       ",1968,-20.37782000,118.63303200,0,0,0,26,$0.00,0,0,WA,http://www.emknowledge.gov.au/resource/?id=473,"$78,000,000.00",$0.00,Not known
4162,Transport,Air,Canal Creek Aircraft Crash,"On 19 December 1943, a military aircraft carrying 31 people crashed at Queensland&rsquo;s remote Canal Creek Cattle Station, killing all on board.  The plane was carrying 20 American armed services personnel and 11 Australians: eight Australian Defense Personnel, a YMCA representative, a Salvation Army officer and a war photographer.  The plane was en route from Townsville to Brisbane, and had a scheduled stop in Rockhampton. The crash occurred approximately 50 kms north of Rockhampton, after an explosion blew part of the wing off the plane, taking out the rudder and tail section and causing it to crash into the ground.   ",1943,-22.90400887,150.50445560,0,0,0,31,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=4162,"$93,000,000.00",$0.00,Not known
3099,Transport,Air,"Aircraft Crash, Seven Mile Beach, Hobart","On 10 March 1946, an Australian National Airways DC-3 airliner crashed into the sea off Seven Mile Beach, Tasmania shortly after taking off from Cambridge aerodrome en route to Essendon. All 21 passengers and four crew were killed. The Coroner, Mr G Sorrell found that approximately two minutes after take-off from Cambridge at a height of approximately 400 ft, the aircraft was seen to turn slightly and crash downwards into the waters of Frederick Henry Bay near Seven Mile Beach. The force of the impact shattered the plane, and all occupants received severe injuries leading to their deaths.",1946,-42.85356903,147.50622560,0,0,0,25,$0.00,0,0,TAS,http://www.emknowledge.gov.au/resource/?id=3099,"$75,000,000.00",$0.00,Not known
533,Transport,Air,Coolangatta Aircraft Crash,"Fourteen men, five women and two children were killed when a Lockheed Lodestar plane crashed into a swamp on 10 March 1949. The aircraft had just taken off from Bilinga airstrip, a mile from Coolangatta. The cause of the crash was established as loss of fore and aft control due to improper loading, resulting in the centre of gravity being considerably aft of the permissible limit.",1949,-28.16490364,153.51579280,0,0,0,21,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=533,"$63,000,000.00",$0.00,Not known
83,Transport,Air,Dandenongs Aircraft Crash,"The Kyeema Air Crash occurred 25 October 1938. The aircraft was en route from Adelaide to Essendon Airport with 14 passengers and four crew onboard. It hit heavy cloud after crossing the Great Dividing Range, leading the pilot to mistake Sunbury for Daylesford. It crashed into the western slopes at the top of Mt Dandenong. All on board died.",1938,-37.83002472,145.35043330,0,0,0,18,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=83,"$54,000,000.00",$0.00,Not known
406,Transport,Air,Perth Aircraft Crash,"On 2 July 1949, 18 people were killed when a DC3 aircraft crashed and burst into flames 15 seconds after it had taken off from Perth&rsquo;s Guildford Airport, en route for Darwin. The plane took off in driving rain early in the morning. It is believed one engine cut out and the plane hit the ground with terrific force approximately one mile north of the runway. There was an explosion as hundreds of gallons of high octane petrol burst into flames. ",1949,-31.93187714,115.95961760,0,0,0,18,$0.00,0,0,WA,http://www.emknowledge.gov.au/resource/?id=406,"$54,000,000.00",$0.00,Not known
540,Transport,Air,Black Hawk Aircraft Collision,"On 12 June 1996, a formation of six Black Hawk helicopters departed RAAF Townsville to conduct a counter-terrorism approach exercise in the High Range Training Area. Thirty seconds from the landing zone, one of the helicopters veered to the right, clipping the tail rotor of a second aircraft. The lead helicopter crashed to the ground upside down. The second helicopter entered a flat spin before crash landing in an upright position. Both aircrafts were consumed by fire. Eighteen Australian servicemen perished and a further 12 were injured. Equipment worth $37 million was destroyed.  The Board of Inquiry found that the planning and information regarding the air mission were inadequate; however no criminal charges were laid.   ",1996,-19.25670052,146.81773380,0,0,12,18,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=540,"$60,000,000.00",$0.00,Not known
323,Transport,Air,Sydney Airliner Crash,"A Sydney Airliner took off from Sydney to journey to Canberra when Sydney was experiencing severe storm conditions, heavy rain, strong turbulence and thunder and lightning. Shortly after take-off the plane crashed into Botany Bay after damage occurred to the starboard outer wing. All four crew and 11 passengers died in this accident.",1961,-33.91593933,151.16427610,0,0,0,15,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=323,"$45,000,000.00",$0.00,Not known
4160,Transport,Air,Menzies Cabinet Aircraft Crash,"On 13 August 1940, a RAAF Lockheed bomber crashed near Canberra, killing all ten people on board. The plane was bringing Ministers and high officers from Melbourne to Canberra for a cabinet meeting. It was preparing to land at Canberra when it nose-dived into a hill, hitting a large log in the middle of the clearing.  Witnesses at the aerodrome watched the plane lose height above low hills about three miles from the landing strip. It appeared that one engine faltered and the plane immediately tipped on one wing and disappeared from view behind a clump of trees.  The plane crashed on the top of a hill in a small clearing between two trees. The machine was enveloped in flames when police, ambulance officers and aircraftsmen reached the scene.  Among those killed were three Commonwealth Ministers from then-Prime Minister Menzies&rsquo; Government and the Chief of the Australian General Staff.",1940,-35.34761429,149.22969060,0,0,0,10,$0.00,0,0,ACT,http://www.emknowledge.gov.au/resource/?id=4160,"$30,000,000.00",$0.00,Not known
