id,type,sub_type,name,description,year,lat,long,evacuated,homeless,injuries,deaths,insured_cost,homes_damaged,homes_destroyed,regions,url,severity,normalised_cost_2011,cost_2011_text
123,Natural,Bushfire,Warenda Station Hughenden,"Lightning strikes ignited a fire at the Warenda Station near Hughenden. As a result of the bushfire, three people died.",1917,-20.82608414,144.20173650,0,0,0,3,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=123,"$9,000,000.00",$0.00,Not known
22,Natural,Bushfire,Great Divide Complex,"Victoria experienced a very adverse fire season during 2006 - 2007. Lightning ignited a number of fires on 1 December 2006 and some later merged to form what is known as the 'Great Divide Complex' fires in eastern Victoria. The area burnt mostly public land and was estimated to be in the vicinity of 1.2 and 1.3 million hectares by the end of the season. On 7 February 2007, The Great Divide fires were finally contained after 69 days. There were also a number of other fires (Tawonga Gap burned 33,500 hectares and Tatong burned 33,000). Despite the severity of the fire season, housing and private asset losses were remarkably low. In total, 51 dwellings of which 21 were classified as primary residences were destroyed and hundreds of stock and farm fencing were lost in the fires. One man died in a vehicle accident while assisting a property owner to prepare for fire impact.  Thousands of community volunteers and career emergency service personnel across state, regional and community levels worked in partnership to ensure the fires were eventually brought under control. A further component to the response was the support and assistance from New Zealand, United States, Canadian and interstate colleagues.  By 7 February, more than 1400 firefighters had been injured in the fire fighting effort (including bruises, cuts, blisters, burns, dehydration, broken limbs and spider bites). More than 400 St John Ambulance volunteers, including doctors, nurses and first aid officers provided medical assistance. On 16 December, 11 New Zealand firefighters were injured while fighting the fire in the Howqua Valley in north-east Victoria.  On 16 January 2007 power lines were cut which severely disrupted Melbourne electricity supplies. On the same day, a fire threatened to close Tullamarine Airport. The Department of Sustainability and Environment (DSE) worked with Melbourne Water to keep the fires out of the water catchments.  A significant number of people were evacuated during the fires. Relief centres were established to accommodate evacuees. Some mountain tourist complexes were evacuated due to fires including Mount Buller and Thredbo Village in New South Wales, the latter due to a fire that started from a lightning strike at Hermit Mountain and crossed the border.  Victoria experienced widespread effects from the fires. Numerous schools in the high country and some parts of Gippsland were forced to close due to the fire threat and outside play at school was banned in some instances due to smoke haze. The smoke haze reportedly caused some respiratory symptoms and aggravated conditions such as asthma. Haze also ffected traffic and delayed flights in and out of Melbourne airport. On 20 December, the Environment Protection Authority recorded its worst bushfire smoke since records began, with visibility reduced to two km in Melbourne's central business district.  During the fire season, the Country Fire Authority, Department of Sustainability and Environment and Parks Victoria received operational assistance from other states and a significant international contingent:    ACT - 37 personnel  NSW - 1050 personnel  NT - 108 personnel  SA - 10 personnel  Qld - 14 personnel  WA - 20 personnel  Canada - 52 personnel  New Zealand - 115 personnel  USA - 114 personnel    The Victorian and Federal Government provided financial assistance to aid personal, physical and economic recovery from the fire disaster.  The Insurance Council of Australia did not report any cost for this particular fire.",2006,-36.71800995,147.14521790,0,0,1400,1,$0.00,0,51,VIC,http://www.emknowledge.gov.au/resource/?id=22,"$703,000,000.00",$0.00,Not known
462,Natural,Bushfire,Red Tuesday,"Red Tuesday occurred on 1 February 1898 when in the southern Gippsland area of Victoria 260,000 ha were burnt, 12 people were killed and 2000 buildings were destroyed. The fires affected the Cranbourne, Traralgon, Neerim South and Poowong areas.",1898,-38.19710922,146.53462220,0,2500,0,12,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=462,"$286,000,000.00",$0.00,Not known
68,Natural,Bushfire,Southern Victoria and Dandenong Ranges,"Fires in the Dandenong Ranges and on the outskirts of Melbourne caused eight fatalities and destroyed over 450 houses. Areas severely affected include The Basin, Christmas Hills, Kinglake, St Andrews, Hurstbridge, Warrandyte and Mitcham. The bushfires came within 20 km of the city of Melbourne and were considered the worst fires since 1939.",1962,-37.85620117,145.31593320,0,2500,0,8,$0.00,0,454,VIC,http://www.emknowledge.gov.au/resource/?id=68,"$274,000,000.00",$0.00,Not known
405,Natural,Bushfire,Blue Mountains and Sydney Region,"During the period 30 November until 2 December, fires caused widespread damage in the Blue Mountains vicinity. The worst affected areas were Leura and Wentworth Falls, with other damage recorded at Megalong Valley, Lithgow and Jenolan Caves.  As a result of the fires, 158 buildings were destroyed and four people died. The damage was estimated at approximately &pound;1,000,000.",1957,-33.71252823,150.33152770,0,0,0,4,$0.00,0,158,NSW,http://www.emknowledge.gov.au/resource/?id=405,"$12,000,000.00",$0.00,Not known
103,Natural,Bushfire,Central and Southern Victoria,"From January to March 1952, bushfires ravaged many parts of Victoria and claimed ten lives. Approximately 1,500,000 hectares were burnt resulting in seven million pounds in damage.",1952,-36.68604279,147.15087890,0,0,0,10,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=103,"$30,000,000.00",$0.00,Not known
4781,Natural,Bushfire,New South Wales 2013,"During October 2013, approximately 100 fires burnt across eastern New South Wales, including six major bushfires. The most serious fires started in the Blue Mountains on 16 and 17 October.  The fires began on 13 October when strong winds and high temperatures caused a fire near Port Stephens and destroyed six houses. Several sheds and cars were also burnt in the fires and dozens of residents spent the night in evacuation centres. One person died at Lake Munmorah while protecting their home. Fires also occurred around the Hunter and Hawksbury regions. At the same time, more than 100 firefighters were fighting bushfires at Tangory Mountain, Webbs Creek, Wollemi National Park, the Southern Highlands and the Central Coast.  On 16 October, a defence training exercise at Marrangaroo near the Blue Mountains, accidently sparked a fire that became known as the &lsquo;State Mine Fire&rsquo;. It had a perimeter of 190km and eventually burnt nearly 46,000 hectares between Lithgow and Mt Tomah. At its most severe, the fire travelled 25 km per hour through bushland.  Thousands of people in Lithgow were evacuated and the communities of Bell, Bilpin, Berambing, Clarence, Dargan, Hartley Vale, Mount Wilson were also affected. The fire devastated the recently restored tourist attraction, Zig Zag Railway, with equipment and train carriages destroyed.  On 17 October two more major fires began in the lower Blue Mountains: one near Mt Victoria and the other at Springwood. Wimallee and Yellowrock were the worst affected communities with 193 homes destroyed and 100 damaged. Staff and patients at the Springwood Hospital were evacuated as a precaution. With the three fires burning uncontrollably in the Blue Mountains, on 18 October, Victoria sent fire crews and equipment to assist with the NSW firefighting efforts. A State of Emergency was announced for NSW on 20 October.  By 22 October the State Mine Fire had travelled south and was threatening to join up with the Mt Victoria Fire. The Rural Fire Service decided to deliberately allow the State Mine Fire to join the Mount Victoria Fire in a controlled way by managing fuel loads and back-burning to create firebreaks. While this was a high risk strategy, by 25 October cooler weather conditions allowed firefighters to bring the three Blue Mountains Fires under control. The fires were declared extinguished on 13 November. A total of approximately 118,000 hectares was burnt across the state.  A second person died on 24 October while piloting a water-bombing plane that crashed over Budawang National Park.  Financial assistance and grants were made to eligible NSW bushfire victims.&bull; Australian Government Disaster Recovery Payment:Claims granted: 869Scheduled dollars to be paid $974,000  &bull; NSW Disaster Recovery Allowance:Claims granted: 54Scheduled dollars to be paid $42,801  &bull; National disaster relief and recovery arrangementsprovided funds to clean up bushfire related debris in the affected communities.&bull; $ 1.4 million was granted by the NSW government to make sites containing asbestos safe.&bull; A Blue Mountains Bushfire Mayoral Relief Fund was established to collect and distribute money.  Natural disaster relief and recovery arrangements were provided as a joint commonwealth and state / territory government initiative for local government areas.  The Insurance Council of Australia estimate the damage for the fires across NSW in October 2013 at $183,400,000.  Further information will be provided when it becomes available.",2013,-33.64834976,150.36643980,0,0,0,2,"$183,400,000.00",0,200,NSW,http://www.emknowledge.gov.au/resource/?id=4781,"$189,400,000.00","$183,400,000.00",$183m
350,Natural,Bushfire,Black Friday,"In the lead up to Black Friday, 13 January 1939, drought conditions prevailed and there were widespread water shortages. By the beginning of the week of Black Friday, fires were burning in Dromana, Arthurs Seat, Frankston, Dandenong Ranges, Cockatoo, Noojee, Moe, Yallourn, Bairnsdale, Harrietville, Mt Bogong, Orbost, Woodend and Mt Macedon. The whole of Victoria was covered in smoke, it is estimated that 75 per cent of the state was affected to some extent. Despite the number of fires burning and the harsh conditions, more fires were lit by bushmen and graziers attempting to protect themselves from the fires, only to have them lose control and spread.  The first deaths occurred on 8 January when two people died in the Toolangi State Forest.  By 10 January, almost all the forests in the Great Dividing Range were on fire. There was a large outbreak around the town of Erica, north-east of Moe, and at Powelltown between Yarra Junction and Noojee. On Black Friday itself, the temperature reached 44.7&ordm;C in Melbourne, and 47.2&ordm;C in Mildura and the humidity level was low. Narbethong, Noojee, Woods Point, Nayook West and Hill End were completely destroyed by the fires on this day.  The south-east of South Australia, southern New South Wales, Australian Capital Territory and Tasmania all experienced fires in January 1939. Overall, 36 people died in Victoria on Black Friday alone and the total number of deaths were 71. Fires destroyed more than 700 homes, 69 sawmills, many businesses, farms and other buildings; approximately 1300 buildings were lost.  There was a Royal Commission for the Black Friday bushfires which played a significant role in increasing bushfire awareness and prevention throughout Australia.",1939,-37.56360245,145.46377560,0,0,0,71,$0.00,0,1000,ACT;NSW;VIC;SA;TAS,http://www.emknowledge.gov.au/resource/?id=350,"$213,000,000.00",$0.00,Not known
206,Natural,Bushfire,South-East Victoria,"Throughout February and March 1926, forest fires raged across large areas of Gippsland. In total, 60 people died. There was widespread destruction to farms, houses and sawmills. It is estimated 400,000 hectares of forest was burnt. The fires reached their peak on 14 February (Black Sunday) when 31 people died at Warburton near Melbourne. Other areas badly affected include Noojee, Kinglake, Erica and the Dandenong Ranges. Widespread fires also occurred across New South Wales, Australian Capital Territory and Queensland.",1926,-37.75360107,145.68908690,0,700,0,60,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=206,"$250,000,000.00",$0.00,Not known
7,Natural,Bushfire,Wandilo,"On 5 April 1958 a pine plantation fire occurred in Wandilo, near Mount Gambier, where eight firefighters lost their lives. The fire started at 10.45 am and strong north, north-easterly winds forced the fire into nearby forests. Forestry and Emergency Fire Service units were dispatched and entered a clearing in the plantation. A fire storm developed and fire fighting crews were caught unprepared. Two forestry units were bogged in soft sand when trying to evacuate and another damaged a gearbox and could not move. Three people managed to survive in and out of the trucks but eight others died.  The fire was brought under control early the next day.",1958,-37.73846054,140.77371220,0,0,3,8,$0.00,0,0,SA,http://www.emknowledge.gov.au/resource/?id=7,"$25,500,000.00",$0.00,Not known
