id,type,sub_type,name,description,year,lat,long,evacuated,homeless,injuries,deaths,insured_cost,homes_damaged,homes_destroyed,regions,url,severity,normalised_cost_2011
503,Natural,Cyclone,Cyclone Yasi,"Cyclone Yasi developed as a tropical low north-west of Fiji on 29 January 2011. On 30 January, it was named Yasi by the Fiji Meteorological Service. On 2 February, it was upgraded to a Category 5 system and made landfall near Mission Beach (138 km south of Cairns) between midnight and 1 am (AEST) early on Thursday 3 February. It weakened to a tropical low near Mount Isa around 10 pm on 3 February.  In response to warnings about the expected severity of the cyclone, and possible storm surges, approximately 10,000 northern Queenslanders living in low-lying areas evacuated to more than 100 official evacuation centres. Significant numbers were accommodated in unofficial evacuation centres established by communities and church groups. Thousands of people left the area and sought refuge with family and friends.  Flights out of the region were fully booked. The entire hospital population, more than 300 patients, were evacuated to other regional hospitals and Brisbane by the the Australian Defence Force, Royal Flying Doctor Service and other methods.  This was an unprecedented evacuation effort.  The eye of the cyclone passed over Dunk Island and Mission Beach between Innisfail and Townsville bringing significant winds, the highest estimated at 285 km per hour. Considerable damage occurred to the towns of Tully, Cardwell, Tully Heads, Innisfail, Ingham, Mission Beach, El Arish, Silkwood and Silky Oak and localities, however, the cyclone&rsquo;s worst impact missed the major centres of Townsville and Cairns. Overall, approximately 1000 people reported significant damage to their homes. Other impacts include power loss to more than 200,000 properties, cars were found metres away from where they were left and boats were piled on top of each other in some regions.  Rainfall totals for the 24 hour period to 9 am Thursday 3 February were 200-300 mm in the area between Cairns and Ayr, causing some flooding. A 5 m tidal surge was observed at the storm tide gauge at Cardwell. Other sea inundation occurred between the beaches north of Cairns and Alva Beach, and there was some inundation in parts of the city of Townsville.  The Australian Bureau of Agriculture and Resource Economics and Sciences estimated the cyclone caused a $300 million hit to agriculture, particularly affecting banana and sugarcane crops.  The Federal Government processed over $250 million worth of recovery grants in the first three weeks after the storm through Centrelink. Financial help was also available in the form of concessional loans for cyclone hit farmers up to $650,000.  There was one recorded death.  The Insurance Council of Australia estimated the preliminary 2011 damage at $1412 million.",2011,-17.85067558,146.10992430,0,0,0,1,"$1,412,000,000.00",1000,0,QLD,http://www.emknowledge.gov.au/resource/?id=503,"$1,415,000,000.00","$1,412,000,000.00"
42,Natural,Cyclone,Cyclone Mahina,On 4 March 1899 a category five cyclone hit Bathurst Bay with winds reaching 260 km per hour. A tsunami of 14.6 m swept inland for 5 km.  A wave surge measuring 13 m at Ninian Bay adjacent to Barrow Point 30 km south of Bathurst Bay extended inland for 3-5 km. The pearling fleet was damaged with 400 people losing their lives.,1899,-14.11526680,144.33837890,0,0,0,400,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=42,"$1,200,000,000.00",$0.00
360,Natural,Cyclone,Cyclone Balla Balla,"The tropical cyclone crossed the coast just west of Balla Balla, which is the port for the copper mines of the Whim Creek district. Damage from the cyclone extended more than 200 km along the coastline.  The large iron ship, The Crown of England, was wrecked on Depuch Island. The vessel Concordia was also driven ashore nearby and several lighter vessels and pearling luggers were sunk or wrecked. At least 15 people lost their lives.  The steamer Koombana left Port Hedland on route to Broome with 138 passengers and 20 crew members on board. The Koombana was following the SS Bullarra up the coast. Both vessels sailed into the cyclone. The Bullarra was badly damaged but was able to reach port. The Koombana disappeared in the cyclone claiming all 158 people on board. On 3 April a search vessel found wreckage, including a lifeboat and a state room door approximately 25 nautical miles north of Bedout Island.",1912,-20.63117790,117.72657780,0,0,0,173,$0.00,0,0,WA,http://www.emknowledge.gov.au/resource/?id=360,"$519,000,000.00",$0.00
466,Natural,Cyclone,Cyclone Broome,"A tropical cyclone with winds estimated at 175 km per hour caused 40 deaths and widespread destruction in the Broome region.  Twenty houses were destroyed and over 70 damaged. The housing damage was estimated at 20,000 pounds.  There were 34 pearling boats wrecked or sunk and a further 67 blown ashore.",1910,-17.95405579,122.24899290,0,0,0,40,$0.00,70,20,WA,http://www.emknowledge.gov.au/resource/?id=466,"$120,000,000.00",$0.00
362,Natural,Cyclone,Innisfail,"On 10 March 1918, Innisfail was hit by a cyclone. Damage was recorded in Cairns, Babinda, and on the Atherton Tableland. Coastal areas were affected by a storm surge at Mission Beach measuring 3.6 m, which swept hundreds of metres inland.  Of the 3500 residents in Innisfail, only 12 houses remained intact, all other homes were blown flat or unroofed by high winds. Thirty seven people died in Innisfail. There were unconfirmed reports of additional 40 - 60 deaths in surrounding areas.",1918,-17.52427864,146.03228760,0,0,0,37,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=362,"$111,000,000.00",$0.00
31,Natural,Cyclone,Mackay 1918,"On 20 January a cyclone with wind gusts estimated at 195 km per hour hit Mackay. Thirty people were killed in Mackay and Rockhampton. In Rockhampton 1400 homes were damaged by the subsequent flooding of the Fitzroy River.  A storm surge created waves of up to 2.7 m which broke in the centre of the town. The cyclone generated rainfall of 1141 mm over three days which flooded the Pioneer River. Further south, the Fitzroy River at Rockhampton peaked at 9.3 m where on 23 January six people drowned. The news of the disaster did not reach the outside world for five days due to the breakdown of available communication links.",1918,-21.17188644,149.20733640,0,0,0,30,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=31,"$90,000,000.00",$0.00
421,Natural,Cyclone,Darwin,"Late on 6 January 1897 a cyclone built up in the city of Port Darwin, striking in the early hours of 7 January. Its peak was recorded at approximately 3.30 - 4.30am. Rainfall in Darwin during the passage of this cyclone was recorded at 292 mm. The cyclone was the largest recorded before Cyclone Tracy; it uplifted rooves, uprooted trees and telephone poles, and blew apart houses, destroying almost all of the buildings in Port Darwin by approximately 7.30 am. Eighteen pearling luggers, the government steam launch and three sampans were wrecked. Twenty-eight people were killed by the cyclone.  The Bureau of Meteorology estimated the costs to exceed &pound;150,000, in 1897 values.",1897,-12.45970917,130.81936650,0,0,0,28,$0.00,0,0,NT,http://www.emknowledge.gov.au/resource/?id=421,"$84,000,000.00",$0.00
445,Natural,Cyclone,The Great Gold Coast Cyclone,"On 20 February 1954, a tropical cyclone crossed over Coolangatta. While the cyclone occurred when weather patterns were unnamed, it was unofficially given the title The Great Gold Coast Cyclone. Serious structural damage to buildings occurred in Brisbane, Gold Coast and the Sunshine Coast.  A 0.64 m storm surge was recorded in Moreton Bay while at Beachmere the surge was much higher. Waves at Kirra brought 3 m of water onto the highway washing cars from the road.  As a result of the heavy rain, flooding which combined with the storm surge in the Nerang River caused many evacuations in the area, including people from MacIntosh Island.  Severe flooding also occurred in areas of New South Wales; Cudgen, Casino, Lismore, Murwillumbah, Grafton, Maclean, Clarence, Yamba, Kyogle and Bryon Bay.  The worst-hit areas were reported as Lismore, Casino, Kyogle, and Murwillumbah. The Richmond River rose approximately 1 m above the record 1949 flood level. Impacts to these areas included several thousand people displaced, crop and stock losses, residential and commercial premises damaged, and roads and other infrastructure destroyed.  In Byron Bay, the outer section of the jetty was swept away taking 22 vessels with it . The storm surge moved thorough Bryon Bay and flooded parts of the town.   The Bureau of Meteorology reports between 26 to 30 people died as a result of the flooding, severe winds and storm surges.",1954,-28.16656685,153.53814700,0,0,0,26,$0.00,0,0,QLD;NSW,http://www.emknowledge.gov.au/resource/?id=445,"$78,000,000.00",$0.00
335,Natural,Cyclone,Cyclone Sigma,Tropical Cyclone Sigma passed Townsville to the north-east. Rain totalling 510 mm fell during the cyclone resulting in enormous seas and substantial flooding.  There was a total of 18 deaths.,1896,-19.25200272,146.82060240,0,0,0,18,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=335,"$54,000,000.00",$0.00
474,Natural,Cyclone,Cyclone Leonta,"Cyclone Leonta hit Townsville on the 9 March 1903, resulting in the grammar school and hospitals being destroyed. Ten people died as a result, with eight deaths occurring in the collapsed hospital.  The damage in 1903 was estimated at approximately &pound;250,000.",1903,-19.25200272,146.82060240,0,0,0,10,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=474,"$30,000,000.00",$0.00
409,Natural,Cyclone,Cooktown,"A Tropical Cyclone crossed north of Cooktown on 19 January 1907.The damage caused by the cyclone included three churches, two schools, four halls, three hotels, several shops and many homes. A total of nine deaths were recorded.",1907,-15.46823978,145.25436400,0,0,0,9,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=409,"$27,000,000.00",$0.00
222,Natural,Cyclone,Cyclone Emily,Tropical Cyclone Emily formed off the southern and central coasts of Queensland resulting in eight deaths (in three separate incidents).  Other damage recorded included flooding at Kingaroy and Brisbane.,1972,-23.41284752,150.81756590,0,0,0,8,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=222,"$24,000,000.00",$0.00
352,Natural,Cyclone,Mackay 1955,"On 7 March 1955, between Mackay and Cape Capricorn, a lugger (boat) sank when it was caught in a cyclone with winds that reached 145 km per hour. The crew of eight drowned.  Several buildings were unroofed at Yeppoon and major floods occurred at Flinders Burdekin and Fitzroy Rivers.",1955,-21.13790703,149.18498230,0,0,0,8,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=352,"$24,000,000.00",$0.00
61,Natural,Cyclone,Gulf of Carpentaria,"On 5 March 1887, a cyclone hit Burketown on the Gulf of Carpentaria. It arrived at approximately 11 am in the form of strong storm winds from the south-east. The storm continued for 12 hours; it destroyed almost the entire township and caused the death of seven from a population of just 138. The telegraph line was completely destroyed. A storm surge accompanied the cyclone, arriving at 7 pm and flooding the town.  There were great losses of stock, horses and goats.",1887,-17.73102951,139.54216000,0,0,0,7,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=61,"$21,000,000.00",$0.00
433,Natural,Cyclone,Coastal Queensland and New South Wales,"From 16-19 January 1950, a cyclone known as TC119 moved south from the Queensland gulf to Sydney as a Category 1 cyclone causing widespread damage. Seven people died in New South Wales.",1950,-17.70944595,140.02075200,100,0,0,7,$0.00,0,0,NSW;QLD,http://www.emknowledge.gov.au/resource/?id=433,"$31,000,000.00",$0.00
218,Natural,Cyclone,Cyclone Audrey,"Cyclone Audrey began on 28 February 1969, and brought rough seas and heavy rain to the north and west coasts of the Northern Territory. It caused only minor damage, including uplifting roofs of buildings at Milingimbi and Maningrida.  At Goulburn Island off the northern Arnhem Land coast four fishermen were killed by the cyclone.",1969,-12.05006504,134.21997070,0,0,0,4,$0.00,0,0,NT,http://www.emknowledge.gov.au/resource/?id=218,"$12,000,000.00",$0.00
