id,type,sub_type,name,description,year,lat,long,evacuated,homeless,injuries,deaths,insured_cost,homes_damaged,homes_destroyed,regions,url,severity,normalised_cost_2011
3,Man made,Industrial,Appin Mine Explosion,"On 24 July 1979 an explosion occurred in the underground mine in Appin, a small town situated 35 km north-west of Wollongong. The explosion was caused by a rush of methane gas in the K panel which was a remote area of the mine situated 3 km below the surface.  There were 45 individuals working in the mine at the time of the explosion. A total of 14 people lost their lives; 10 miners were killed in the crib room, while another four were killed in other areas of the mine.",1979,-34.19221115,150.78633120,0,0,0,14,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=3,"$42,000,000.00",$0.00
119,Man made,Industrial,Wonthaggi Gas Explosion,"On 15 February 1937, a powerful methane gas explosion occurred at the No 20 shaft, Dalyson Colliery, Wonthaggi.  The explosion was caused by the contact of a naked light and methane gas, and was propagated by coal dust. It was so powerful it catapulted a two ton iron cage 60 ft from the mouth of the shaft to the top of the poppet head.  Thirteen miners were killed in the explosion. The explosion resulted in a successful national campaign to improve conditions for Australian miners.",1937,-38.60572815,145.58853150,0,0,0,13,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=119,"$39,000,000.00",$0.00
272,Man made,Industrial,Mount Mulligan Mine,"The Mount Mulligan Mine incident occurred on 19 September 1921. The mine was known as a safe mine, as there was no detectable gas in the shafts. As a result miners worked with naked flames in light instead utilising safety lamps. This caused an explosion and claimed 75 lives.  A Royal Commission was established to investigate the incident. The findings discovered the explosion was caused by a fire damp (flammable gas found in coal mines) in combination with explosives which were stored, distributed and carried underground in a careless manner.",1921,-16.81308556,144.84031680,0,0,0,75,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=272,"$225,000,000.00",$0.00
19,Man made,Industrial,Mt Kembla Gas Explosion,"An explosion at 2pm on 31 July 1902, at Mt. Kembla colliery killed 94 people. The rescue coordinator and the nightshift manager also lost their lives during rescue efforts due to the effect of overpowering fumes.  The cause of the explosion was found to be the ignition of firedamp or methane gas supplying a miner's light. The explosion generated a coal dust explosion that destroyed a large portion of the mine.  There was a Royal Commission conducted into the origin of the explosion which determined that it was caused by the ignition of gas in the mine by the naked flames used as torches by the miners.",1902,-34.43048859,150.81816100,0,0,0,96,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=19,"$288,000,000.00",$0.00
521,Man made,Industrial,Bulli Mine,"On 23 March 1887 at 2.30 pm, a significant explosion occurred at the Bulli Colliery coal mine. The mine was renowned for having above average concentration of methane gas in specific areas.  It was normal practice for miners to unlock safety lamps, which improved both vision and productivity. The combination of methane gas and naked flame led to the explosion, killing 81 miners.  A commission was established to investigate the incident, and concluded poor attitudes towards safety by both miners and management created the ideal conditions for such an explosion.",1887,-34.42461014,150.89309690,0,0,0,81,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=521,"$243,000,000.00",$0.00
425,Man made,Industrial,Queenstown Copper Mine Fire,"On 12 October 1912 a fire broke out at the North Lyell copper mine, causing dense smoke and chaos for the workers caught in the underground tunnels. Rescue efforts successfully saved approximately 128 miners but efforts were hindered by the mine not having an emergency warning signal or sufficient exit points. A total of 42 people lost their lives.",1912,-42.07503510,145.55786130,0,0,0,42,$0.00,0,0,TAS,http://www.emknowledge.gov.au/resource/?id=425,"$126,000,000.00",$0.00
316,Man made,Industrial,"Westgate Bridge Collapse, Melbourne","On 15 October 1970, a section of the Westgate Bridge suddenly collapsed, and fell 50 m. The bridge had been under construction for two - three years. In total 35 workers died as a result of the collapse.  A Royal Commission into the incident was set up to examine and report on the faults with the bridge; these were identified in design, construction, supervision, labour management and communication.",1970,-37.82938004,144.89834590,0,0,0,35,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=316,"$105,000,000.00",$0.00
470,Man made,Industrial,Creswick Gold Mine,"On 12 December 1882, workers in the Creswick based New Australasian No. 2 Gold Mine accidently broke through a wall separating them from an abandoned mine that was flooded. As a result, 27 men were trapped in the flooded mine for three days. Only five made it out alive and 22 died.",1882,-37.42157364,143.89360050,0,0,0,22,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=470,"$66,000,000.00",$0.00
199,Man made,Industrial,Bellbird Colliery,"On 1 September 1923, an explosion occurred at the Bellbird Colliery and 21 miners were killed.  This incident introduced legislation, which resulted in the commencement of the NSW Mines Rescue Act (1925). The legislation established a platform for safety and conditions for the mining industry.",1923,-32.84729004,151.32156370,0,0,0,21,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=199,"$63,000,000.00",$0.00
410,Man made,Industrial,Box Flat Mine Ipswich,"On 31 July 1972 at 2.47 am, an explosion occurred in the No. 5 shaft at the Box Flat Colliery. Seventeen men were killed instantly and 17 were injured. The explosion was caused by a spontaneous heating of fallen coal that developed into a fire approximately 300 m underground.  Efforts to contain or extinguish the fire failed and coal dust caused explosions that propagated the fire through the mine; killing 14 men underground and three at the surface. Included in the death toll were nine officials and employees of the mine and eight men from the mine's rescue station.",1972,-27.57159042,152.76214600,0,0,17,17,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=410,"$59,500,000.00",$0.00
278,Man made,Industrial,Dudley Mine,"On 21 March 1898, 15 men were at work in the borehole seam of the colliery. At approximately 9:20 am a large explosion occurred, which caused widespread damage to the mine and killed 15 miners. In the days after the explosion attempts to remove the bodies were delayed due to the threat of secondary explosions. The mine was sealed as a result and the last body was removed months later on 4 August 1898.",1898,-32.98706818,151.71510310,0,0,0,15,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=278,"$45,000,000.00",$0.00
