id,type,sub_type,name,description,year,lat,long,evacuated,homeless,injuries,deaths,insured_cost,homes_damaged,homes_destroyed,regions,url,severity,normalised_cost_2011,cost_2011_text
460,Natural,Storm/Hail,Port Broughton,"On 14 November 1979 Port Broughton sustained damaged by a line of ferocious storms that hit south-eastern South Australia. Very strong winds and hail ruined solid brick houses, holiday shacks and caravans. Cars were pushed sideways along the road. Pine trees up to 30 m tall were uprooted.  There was no loss of life during the event which was considered to be amazing. Eleven people were injured requiring hospital admission, 60 others required hospital treatment.  While Port Broughton incurred the most damage, other areas were also affected by this weather event. Destruction was felt from the mid north to northern Adelaide Plains. Clare experienced severe damage; houses lost their roofs and sheds were demolished in the high winds. Likewise the northern suburbs of Adelaide saw houses unroofed and the trees blown over in areas such Salisbury North, Parafield Gardens, and Munno Para.  The agriculture industry was severely impacted with crops damaged, glass houses broken, grape vines stripped, storage tanks squashed, orchards destroyed and many farmers livelihoods built up over many years were lost within ten minutes.  According to the Bureau of Meteorology Regional Forecasting Centre, the thunderstorm triggered by the trough line that extended across Yorke Peninsula moved over Port Broughton and produced destructive winds. The winds at all levels through the atmosphere were very strong. A thunderstorm is classified as severe if it produces wind gusts of 90 km per hour of more. On this day gusts were much higher with reports of 135 km per hour to 160 km per hour. Isolated large hail coming from very cold air high above the earth's surface was rapidly transported to the surface by downdrafts and accompanied the thunderstorms associated with the trough immediately to the east causing damage to some of Adelaide&rsquo;s northern suburbs.  The Insurance Council of Australia estimated the 1979 damage at $10 million, with the 2011 normalised cost of $92 million.",1979,-33.60050201,137.93331910,0,150,71,0,"$10,000,000.00",0,0,SA,http://www.emknowledge.gov.au/resource/?id=460,"$142,500,000.00","$92,000,000.00",$92m
130,Natural,Storm/Hail,Cape York and Townsville,"On 12 March 1934, a tropical cyclone crossed the north Queensland coast near Cape Tribulation. A storm surge associated with the cyclone at nearby Bailey Creek destroyed crop plantations. Widespread damage and destruction of property occurred at Mossman, Daintree and Cape Tribulation. There were 75 deaths recorded.",1934,-16.07979584,145.46447750,0,0,0,75,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=130,"$225,000,000.00",$0.00,Not known
429,Natural,Storm/Hail,Orbost,"On 24 January 1991 a severe hailstorm occurred in Orbost.  The Insurance Council of Australia estimated the 1991 damage at $12 million, with the 2011 estimated normalised cost of $32 million.",1991,-37.70148087,148.45687870,0,0,0,0,"$12,000,000.00",0,0,VIC,http://www.emknowledge.gov.au/resource/?id=429,"$32,000,000.00","$32,000,000.00",$32m
379,Natural,Storm/Hail,"New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","At the beginning of February 2005 a low pressure system brought severe storms to eastern Australia. The weather system resulted in record rainfalls to south-east Australia and abnormally low temperatures through much of the eastern half of the country.  New South Wales  On 2 February, many areas of New South Wales and suburban Sydney experienced hail and heavy rain. Some examples are:    Kellyville, hail 5 cm,  Blacktown, hail 4 cm,  Kings Langley, hail 3 cm,  Quakers Hill, hail 3 cm,  Greystanes, heavy rain and hail 4 cm,  Potts Hill, hail 2-3 cm,  Castle Hill, hail 4-5 cm,  Greenacre, hail 4-5 cm,  St Ives, heavy rain and hail 2 cm,  Wahroona, heavy rain and hail 3 cm,  Gosford, hail 4 cm and Terrigal hail 4-5 cm.    Flash flooding was seen in Bexley (metropolitan Sydney) and in North Ryde. A thunderstorm and possible tornado caused severe local wind damage, bringing down trees and power lines, resulting in power outages to thousands of homes.  The strongest wind gusts during the storm were felt at Bathurst with 93 km per hour, Scone 93 km per hour, Kurnell 94 km per hour and Newcastle 91 km per hour.  The unseasonal cold weather brought snow to some areas of New South Wales where approximately 10-15 cm snow fell in the Snowy Mountains and temperatures reached as low as minus 5&deg;C. On the Brindabella Ranges near Canberra and on the Southern Tablelands, several centimetres of snow settled on the ground. Record low maximum and minimum temperatures occurred over this period, especially in the southern areas of the state.  Victoria  Substantial rainfall was reported in many areas of Victoria with 24 hour rainfall totals exceeding 150 mm in many places. Rainfall in the Melbourne metropolitan area exceeded 100 mm with an all time 24 hour record for Melbourne set at 120.2 mm (the previous record was 108 mm).  The highest wind gusts were recorded at Wilson's Promontory with gusts of up to 148 km per hour. In the Melbourne area wind gusts to 104 km per hour were recorded at Fawkner and Beacon.  Extensive damage to buildings was reported and over 7000 requests for assistance were received by the SES and other emergency services over the following days.  Tasmania  During this storm, Tasmania experienced widespread damage particularly from wind gusts. The strong south easterly winds caused damage from Devonport to Bridport, Scottsdale and Winnaleah in the north-east, Binalong Bay on the East Coast, and to Flinders Island in Bass Strait. Port Sorell (near Devonport) reported many homes to be badly damaged in part due to falling trees.  Approximately 25 yachts in the Tamar River broke their moorings, with 14 reportedly destroyed, causing hundreds of thousands of dollars damage.  The Bass Strait ferry Spirit of Tasmania l was forced to return to Melbourne after sustaining damage in seas estimated at 20 m. The Spirit of Tasmania II was delayed on its voyage from Devonport to Melbourne, while the Spirit of Tasmania III broke its moorings in Devonport and was also slightly damaged.  Fruit crops sustained up to 50 per cent loss; particularly apple and pear growers. Damage was also sustained to poppy and grain crops.  Strong winds battered Tasmania during this storm, some examples are; Mount Wellington 104 km per hour, Mount Read 93 km per hour, Eddystone Point 117 km per hour, Flinders Island Airport 100 km per hour, Launceston Airport 94 km per hour and Cape Bruny on Bruny Island 91 km per hour.  On 3 February substantial rainfall accompanied the storm and flooding occurred in several areas on the east coast, some suburbs of Hobart and in the south-east. The Browns River at Kingston broke its banks causing local flooding with several minor landslides also reported in the area.  South Australia  Gale force winds of up to 67 km per hour occurred at several locations in South Australia during this storm event. These occurred in Marree and briefly at Hindmarsh Island.  The Insurance Council of Australia estimated the 2005 damage for the combined states at $216.7 million, with the estimated 2011 normalised cost of $304 million.",2005,-33.71191788,150.95773320,0,0,0,0,"$216,700,000.00",0,0,ACT;NSW;VIC;SA,http://www.emknowledge.gov.au/resource/?id=379,"$304,000,000.00","$304,000,000.00",$304m
69,Natural,Storm/Hail,Ballarat,"On 16 November 1989, a hail storm hit Ballarat resulting in damage to houses and cars.  The Insurance Council of Australia estimated the 1989 damage at $20 million, with the 2011 estimated normalised cost of $81 million.",1989,-37.56158829,143.85623170,0,0,0,0,"$20,000,000.00",0,0,VIC,http://www.emknowledge.gov.au/resource/?id=69,"$81,000,000.00","$81,000,000.00",$81m
35,Natural,Storm/Hail,Sydney Jan 1937,"On 25 January 1937 a severe storm developed near Castle Hill and moved south-east causing damage in the areas of Ryde, Rydalmere, Homebush, Concord, Strathfield, Burwood, Marrickville, Mascot and Botany Bay. Four people died and many were injured as a result of this storm.",1937,-33.87315750,151.20693970,0,0,0,4,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=35,"$12,000,000.00",$0.00,Not known
240,Natural,Storm/Hail,Sydney Jan 1947,"On 1 January 1947 at 2.30 pm, a severe hailstorm spread over Sydney, with hail stones reportedly falling in some instances up to 1.8 kg. The hail caused widespread damage to the area.  The storm started in the St. George and Canterbury-Bankstown districts, tracking across Sydney from the south-western suburbs to the eastern suburbs. Many city buildings, such as the Art Gallery and Central Station, sustained extensive damage and more than 300 people were hospitalised.  Suburbs affected include Bankstown, Belmore, Enfield, Rockdale, Bexley North, Punchbowl Hurstville, Marrickville, Stanmore, Enmore, Newtown. Redfern, Mascot, Botany, Waterloo, Paddington, Bondi, Edgecliff, Double Bay, Rose Bay, Vaucluse, Darling Point, Cremorne, Beecroft and the central and southern part of the city.",1947,-33.81110382,151.21307370,0,0,300,0,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=240,"$150,000,000.00",$0.00,Not known
150,Natural,Storm/Hail,Kosciuszko NP,"On 7 August 1999, four men in their early twenties were caught in a strong blizzard whilst hiking within Kosciuszko National Park. The men were hiking from Thredbo to Lake Albina for a snowboarding and camping adventure when a severe blizzard developed, forcing them to dig and shelter in a snow cave. It is believed the snow cave was quickly buried in the blizzard, causing the men to be asphyxiated.  The bodies were found 101 days later on 16 November 1999, 2.5 km from where the group had started their trek, at a point not far from Mt Kosciuszko.",1999,-36.33946609,148.57360840,0,0,0,4,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=150,"$12,000,000.00",$0.00,Not known
173,Natural,Storm/Hail,Ipswich,"In April 1998 a severe thunderstorm with strong wind gusts reported up to 80 km per hour, swept from New South Wales into Ipswich and other Brisbane suburbs. Strong winds up to 117 km per hour were recorded in Amberley. Three people died when they were electrocuted by a fallen power line. Other damage reported included yachts in the Brisbane to Gladstone yacht race.",1998,-27.61335373,152.75854490,0,0,0,3,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=173,"$9,000,000.00",$0.00,Not known
358,Natural,Storm/Hail,South Eastern Australia Nov 1994,"Between 6-8 November 1994, strong land gales up to 145 km per hour lashed Victoria, Australian Capital Territory and New South Wales. One person was killed and another 50 injured. Boats and buildings were damaged and more than 550,000 homes lost power. Huge dust clouds stretched for over thousands of kilometres.  The insurance cost of this event is unknown.",1994,-37.81195450,144.96357730,0,100,50,1,$0.00,0,0,ACT;NSW;VIC,http://www.emknowledge.gov.au/resource/?id=358,"$38,000,000.00",$0.00,Not known
