id,type,sub_type,name,description,year,lat,long,evacuated,homeless,injuries,deaths,insured_cost,homes_damaged,homes_destroyed,regions,url,severity,normalised_cost_2011,cost_2011_text
528,Transport,Rail,Traveston Train Derailment,"On 7 June, an obstruction under one of the trailing wheels of the leading bogie of the luggage van caused the van to derail. It was dragged along for 2.4 km before it struck the end of the 96 Mile Bridge. The train plunged over the side of the bridge, dragging two carriages with it.  There were 53 people injured and ten deaths recorded.",1925,-26.32070923,152.78353880,0,0,53,10,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=528,"$56,500,000.00",$0.00,Not known
79,Transport,Rail,Richmond Rail Collision,"On 18 July 1910 a train en route to Melbourne from Elsternwick ran into the back of a Melbourne bound Brighton train in foggy conditions at Richmond Station.   The signals were obscured by the weather and could only be seen when the train was adjacent to them. Despite the very slow speed of the second train, the damage done was significant; the impact propelled the engine heading the Brighton train forward 27 m.  Nine people died and 114 people were injured.",1910,-33.59674835,150.75268550,0,0,114,9,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=79,"$84,000,000.00",$0.00,Not known
260,Transport,Rail,Murulla Train Accident,"On 13 September 1926, the north-west Moree Mail train was travelling from Moree to Sydney when it was struck by five runaway carriages from a goods train near the Murulla Crossing.  The disaster resulted in 27 deaths with a further 38 people injured.  The accident could have been avoided with the purchase of a coupling pin, which at the time would have cost 1s3d -13cents. The incident sparked a review of rail infrastructure in New South Wales and a Royal Commission was planned but never occurred due to a change of Government in 1927.",1926,-31.75240135,150.83300780,0,0,38,27,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=260,"$100,000,000.00",$0.00,Not known
4,Transport,Rail,Granville Rail Disaster,"On 18 January 1977, a passenger train left Mount Victoria in the Blue Mountains for Sydney. Whilst negotiating a left hand curve 250 m west of the Granville Railway Station, the train derailed causing it to collide with the northern trestle supporting the Bold Street Bridge. The bridge collapsed on the train, destroying one carriage and crushing two others.  The derailed locomotive demolished the eight stanchions of the northern trestle, sheering a power pylon from its base before overturning. Eight people died when the top of the first carriage was demolished as it caught the power pylon. The second carriage stopped clear of the bridge. The third and fourth carriages were crushed when the unsupported northern span of the 30 m wide bridge collapsed, killing 83 people. The following four carriages remained on the rails, causing injuries to 210 passengers.  A Departmental and Judicial Inquiry found that poor maintenance was a critical factor, with no evidence to support any offence against the driver and the crew.  On the twentieth anniversary of the disaster, a memorial was erected at Granville containing the names of the deceased.",1977,-33.83146286,151.00996400,0,0,210,83,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=4,"$354,000,000.00",$0.00,Not known
455,Transport,Rail,Sunshine Rail Collision,"On 20 April 1908, a train packed with holiday makers returning to Melbourne from Ballarat was struck by another train coming from Bendigo. The Ballarat train was scheduled to arrive at Sunshine at 10.03 pm but was running late. When it did arrive at the station it had to stop twice to allow passengers in the rear coaches to alight due to the length of the train.  The train from Bendigo was due to arrive at Sunshine at 10.30 pm but was running late and therefore travelling at reasonable speed to try and make up time. As the train from Ballarat prepared to leave on its final leg into Melbourne it was struck from behind by the train from Bendigo hauled by two 'AA class' engines.  The impact of the collision at 10.50 pm demolished the guards van and the rear four carriages. Gas from one of the trains caught fire. Darkness impeded rescue efforts with only lamp light and light from the fire available. It was not until 1.00 am that a relief train arrived with doctors, nurses and an ambulance corp.  In all, 44 people were killed and 413 injured with 72 of the injuries being serious. All lives lost occurred on the Ballarat train.   An extensive inquiry was held and many recommendations were made that would impact on future safety.",1908,-37.78783417,144.83258060,0,0,413,44,$0.00,0,0,VIC,http://www.emknowledge.gov.au/resource/?id=455,"$338,500,000.00",$0.00,Not known
279,Transport,Rail,Berala Rail Collision,"On 7 May 1952, a crowded eight-car electric train travelling from Liverpool to Sydney was standing at the suburban station of Berala, when a second electric train travelling from Bankstown ran into the rear of the first train. As a result of this collision, there were ten deaths and another 140 people sustained injuries.",1952,-33.87202072,151.03189090,0,0,140,10,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=279,"$100,000,000.00",$0.00,Not known
551,Transport,Rail,Camp Mountain (Dayboro) Train Derailment,"On 5 May 1947, a chartered train departed for a picnic at Closeburn on the Dayboro branch with approximately 230 passengers were on board.  On the descent towards Samford Station, the engine tender derailed on a sharp bend causing the total derailment of the engine, water gin and first two carriages. The force of the derailment destroyed the first carriage and compressed the combined length of the engine to the third carriage to just over half its original length. Sixteen people were killed and 38 injured.  A Court of Inquiry that found excessive speed had led to the crash.",1947,-27.37134743,152.88676450,0,0,38,16,$0.00,0,0,QLD,http://www.emknowledge.gov.au/resource/?id=551,"$67,000,000.00",$0.00,Not known
101,Transport,Rail,Brooklyn Train and Bus Collision,A Kempsey bound train travelling downhill into the town of Brooklyn crashed into a bus at a level crossing at the Brooklyn station. In total 17 people died and five were injured. ,1944,-33.54708099,151.22642520,0,0,5,17,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=101,"$53,500,000.00",$0.00,Not known
375,Transport,Rail,Waterfall Train Crash,"On 31 January at approximately 7:14 am, a four car passenger train travelling from Sydney Central station to Port Kembla, left the tracks at high speed and over turned. The train driver suffered a heart attack whilst under control of the train.  Consequently, the driver, six passengers died, and 41 other passengers sustained varying degrees of injury.",2003,-34.13230515,150.99368290,0,0,41,7,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=375,"$41,500,000.00",$0.00,Not known
332,Transport,Rail,Exeter Train Collision,"On Sunday 15 March 1914, a head on train collision occurred in the southern highlands of New South Wales close to Exeter. The 'down' Temora mail train collided with a stationary goods train a couple of hundred meters from the station. The incident was caused by a combination of foggy conditions and human error. As a result 14 people were killed and 20 people sustained various injuries ranging from minor to serious. ",1914,-34.61381149,150.31741330,0,0,20,14,$0.00,0,0,NSW,http://www.emknowledge.gov.au/resource/?id=332,"$52,000,000.00",$0.00,Not known
